A-0.6	Accessible Canada Act
SI-2025-82	(LongTitle) Order Transferring from the Minister of Industry to the Minister of State (Small Business and Tourism) the Powers, Duties and Functions Under the Canadian Tourism Commission Act
SI-2025-83	(LongTitle) Order Designating the Minister of Health to Be the Minister for the Purposes of the Physical Activity and Sport Act in Respect of Physical Activity and the Minister of State (Sport) to Be the Minister for the Purposes of that Act in Respect of Sport
SI-2025-84	(LongTitle) Order Designating the Minister of State (Small Business and Tourism) as the Minister for the Purposes of the Canada Small Business Financing Act
SI-2025-85	(LongTitle) Order Designating the Minister of Foreign Affairs as the Minister for the Purposes of the Export and Import Permits Act
SI-2025-89	(LongTitle) Order Designating the President of the King’s Privy Council for Canada as the Minister for the Purposes of the Building Canada Act
SI-2025-90	(LongTitle) Order Designating the Minister of Transport as the Minister for the Purposes of the Free Trade and Labour Mobility in Canada Act
SI-2025-91	(LongTitle) Order Designating the Department of Industry to Provide Support to the Minister of Artificial Intelligence and Digital Innovation
SI-2025-92	(LongTitle) Order Designating the Minister of Infrastructure and Communities as the Appropriate Minister for the Canada Lands Company Limited for the Purposes of the Financial Administration Act
SI-45-7421	(LongTitle) International Monetary Fund and International Bank for Reconstruction and Development Order
SI-76-31	Rail Rate Freeze Compensatory Payments Order
SI-76-44	(LongTitle) Designating the Office of the Co-ordinator, Status of Women as a Department, the Minister of National Health and Welfare as Appropriate Minister and the Co-ordinator as Deputy Head
SI-77-174	(LongTitle) Rules of the Court of Appeal of Alberta as to Criminal Appeals
SI-78-162	Diplomatic Motor Vehicle Diversion Remission Order
SI-78-165	Age Guidelines
SI-78-179	(LongTitle) Declaring the United States to be a Reciprocating Country for Purposes of the Act
SI-78-57	Cruiser Remission Order
SI-78-65	(LongTitle) Minister of Indian Affairs and Northern Development Authority to Prescribe Fees Order
SI-78-75	Atlantic Region Ferry Remission Order
SI-79-10	(LongTitle) Minister of Communications Authority to Prescribe Fees Order
SI-79-19	Diplomatic, Consular and International Organizations’ Property Grants Order
SI-79-2	Aircraft (International Service) Remission Order
SI-79-39	Non-Commercial Importations Remission Order
SI-79-40	(LongTitle) Proclamation Declaring that the Agreement of Social Security Between Canada and Italy is in Force Effective December 20, 1978
SI-79-72	Customs Tariff Remission Order, 1979
SI-79-73	Canadian Exploration Expense Remission Order
SI-79-7	(LongTitle) Proclamation Giving Notice that an Agreement Expressed in Letters Between the High Commissioner of the United Kingdom and the Minister of National Health and Welfare Dated November 10, 1977 is in Force Effective October 13, 1978
SI-80-108	(LongTitle) Load Line Assignment Authorization Order
SI-80-114	Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-80-117	(LongTitle) New Brunswick Court of Queen’s Bench Summary Conviction Appeal Rules
SI-80-11	Exported Dairy Products Assistance Payments Order
SI-80-125	Immigration Guidelines
SI-80-127	Northern Pipeline Socio-Economic and Environmental Terms and Conditions for the Province of Alberta
SI-80-128	Northern Pipeline Socio-Economic and Environmental Terms and Conditions for Southern British Columbia
SI-80-129	(LongTitle) Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-80-176	Front End Wheel Loader Remission Order
SI-80-8	(LongTitle) Certain Areas Covered With Water Proclaimed Public Harbours Effective January 1, 1980
SI-81-105	Load Line Exemption Order
SI-81-11	Canada Federal Court Reports Distribution Order
SI-81-124	(LongTitle) Proclamation Giving Notice of Coming into Force Canada-Australia Convention Respecting Taxes on Income
SI-81-125	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and Portugal in Force March 12, 1981
SI-81-16	(LongTitle) Minister of Transport Authority to Prescribe Charges Order
SI-81-19	(LongTitle) Minister of Communications Authority to Prescribe Fees Order
SI-81-21	Northern Pipeline Socio-Economic and Environmental Terms and Conditions for the Swift River Portion of the Pipeline in the Province of British Columbia
SI-81-22	Northern Pipeline Socio-Economic and Environmental Terms and Conditions for Northern British Columbia
SI-81-23	Northern Pipeline Socio-Economic and Environmental Terms and Conditions for the Province of Saskatchewan
SI-81-27	(LongTitle) Proclamation Giving Notice of Coming into Force Canada-Austria Convention Respecting Taxes on Income and Capital
SI-81-28	(LongTitle) Proclamation Declaring the Agreement Between Canada and France on Social Security in Force Effective January 13, 1981
SI-81-48	(LongTitle) Proclamation Giving Notice of Coming into Force Canada-Barbados Convention Respecting Taxes on Income and Capital
SI-81-61	(LongTitle) Minister of Transport Authority to Prescribe Fees or Charges Order
SI-81-81	(LongTitle) Minister Responsible for the Canada Mortgage and Housing Corporation Authority to Prescribe Fees Order
SI-81-86	Canadian Passport Order
SI-81-90	(LongTitle) Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-81-97	(LongTitle) The Court of Queen’s Bench for Saskatchewan Summary Conviction Appeal Rules
SI-82-104	(LongTitle) Minister of Communications Authority to Prescribe Fees Order
SI-82-105	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the United States of America in Force February 9, 1982
SI-82-131	Repair Abroad of Canadian Civil Aircraft, Canadian Aircraft Engines and Flight Simulators Remission Order
SI-82-13	New Brunswick Criminal Appeal Rule 63 with Respect to Criminal Appeals to the Court of Appeal
SI-82-197	(LongTitle) Assigning to the Minister of the Environment, the Administration, Management and Control of Certain Public Lands
SI-82-221	(LongTitle) Designation of Place of Inspection and Sale
SI-82-229	Satellites and Satellite Subsystems Remission Order, 1982
SI-82-246	Goods for Production of Aircraft Components Remission Order No. 2
SI-82-30	(LongTitle) Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-82-38	(LongTitle) Designating the Advisory Council on the Status of Women as a Portion of the Public Service and Authorizing the President to Exercise and Perform all the Powers and Functions of the Treasury Board in Relation to Personnel Management of the Council
SI-82-42	Unfinished Leather Remission Order
SI-82-73	Proclamation Declaring the Agreement on Social Security Between Canada and Hellenic Republic in Force December 8, 1981
SI-83-108	(LongTitle) Designating the Minister of Justice and the President of the Treasury Board as Ministers for Purposes of Certain Sections of the Act
SI-83-109	(LongTitle) Designating the Minister of Justice and the President of the Treasury Board as Ministers for Purposes of Certain Sections of the Act
SI-83-113	Access to Information Act Heads of Government Institutions Designation Order
SI-83-114	Privacy Act Heads of Government Institutions Designation Order
SI-83-151	Imported Spirits for Blending Remission Order
SI-83-166	Proclamation Declaring the Agreement on Social Security Between Canada and Jamaica in force June 3, 1983
SI-83-178	Airline Guide Catalogue Remission Order
SI-83-207	Statutes of Canada Distribution Direction
SI-83-217	(LongTitle) Minister of Transport Authority to Prescribe Fees Order
SI-83-221	Air Transportation Tax Remission Order
SI-83-32	Kinepouch and Kinestik Explosives Order, 1981
SI-83-72	Pari-Mutuel Payments Order
SI-83-80	(LongTitle) Minister of Public Works Authority to Prescribe Fees Order
SI-83-88	Coffin or Casket Remission Order
SI-83-96	Meat Inspection Overtime Inspection Fees Remission Order
SI-84-134	(LongTitle) Designating the Judges of Her Majesty’s Court of Queen’s Bench for Manitoba to Exercise all the Functions and Powers of a Judge Under the Act
SI-84-167	(LongTitle) Proclamation Designating Certain Countries as Designated States for Purposes of the Act
SI-84-35	(LongTitle) Minister of Consumer and Corporate Affairs Authority to Prescribe Fees Order
SI-84-38	(LongTitle) Minister of Consumer and Corporate Affairs Authority to Prescribe Fees Order
SI-84-50	Foreign Organizations Remission Order, 1983
SI-84-51	Laminated Glass Dinnerware Remission Order
SI-84-62	(LongTitle) Assigning to the Minister of the Environment, the Administration, Management and Control of Certain Public Lands
SI-84-77	(LongTitle) Assigning to the Minister of the Environment, the Administration, Management and Control of Certain Public Lands
SI-85-108	Remission of Application Fee for Certificate of Citizenship Order
SI-85-122	(LongTitle) Visiting Forces and Visiting Forces Personnel Alcoholic Beverages Remission Order
SI-85-133	Investigation Drugs, Placebos and Emergency Drugs Remission Order
SI-85-136	IRSTD System Remission Order
SI-85-138	(LongTitle) Solicitor General of Canada Authority to Prescribe Fees Order
SI-85-142	(LongTitle) Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-85-144	Indian Remission Order
SI-85-181	Postal Imports Remission Order
SI-85-182	Courier Imports Remission Order
SI-85-200	(LongTitle) Approved Screening Devices Order
SI-85-201	Approved Breath Analysis Instruments Order
SI-85-202	Proclamations Certifying Who Are the High Contracting Parties to the Warsaw Convention
SI-85-20	Computer Carrier Media Remission Order
SI-85-214	Government and Long-Term Corporate Debt Obligations Remission Order
SI-85-215	Bottled Domestic Spirits Remission Order
SI-85-219	Merchandise for Photographic Layouts Remission Order
SI-85-25	(LongTitle) Proclamations Certifying Who Are the High Contracting Parties to the Warsaw Convention
SI-85-37	(LongTitle) Assigning to the Minister of the Environment, the Administration, Management and Control of Certain Public Lands
SI-85-70	(LongTitle) Proclamation Giving Notice of Coming Into Force Canada-Bangladesh Convention Respecting Taxes on Income
SI-85-94	Canadian Patrol Frigate Project Remission Order
SI-86-137	(LongTitle) British Columbia Court of Appeal Criminal Appeal Rules, 1986
SI-86-138	(LongTitle) Minister of Agriculture Authority to Prescribe Fees Order
SI-86-139	(LongTitle) Minister of Agriculture Authority to Prescribe Fees Order
SI-86-140	(LongTitle) Minister of Agriculture Authority to Prescribe Fees Order
SI-86-150	(LongTitle) Assigning the Administration, Management and Control of Certain Lands from the Minister of Indian Affairs and Northern Development to the Minister of the Environment
SI-86-158	(LongTitle) Saskatchewan Court of Queen’s Bench Rules Respecting Pre-Trial Conferences
SI-86-161	Railway Rolling Stock (Temporary Domestic Service U.S. Built Multi-Level) Remission Order
SI-86-177	(LongTitle) Designating the City of Ottawa as the Place for the Head Office of the Cree-Naskapi Commission
SI-86-216	(LongTitle) Order Designating the Registrar of the Competition Tribunal as Deputy Head with Respect to the Registry of the Competition Tribunal
SI-86-31	Systems Software Development Contract Remission Order
SI-86-41	United States Diplomatic and Consular Staff Remission Order
SI-86-45	(LongTitle) Proclamation Giving Notice of Coming into Force Canada-Brazil Convention Respecting Taxes on Income
SI-86-61	Pet Food for Testing Remission Order
SI-86-64	(LongTitle) Designating the Civil Aviation Tribunal as a Department; the Minister of Transport as Appropriate Minister for Purposes of the Financial Administration Act and as Minister for Purposes of Section 31 of the Aeronautics Act
SI-86-78	(LongTitle) Rule of the Court of Queen’s Bench of New Brunswick Respecting Pre-Trial Conferences Under Subsection 553.1(2) of the Criminal Code of Canada
SI-86-79	Alberta Court of Queen’s Bench Rules Respecting Pre-Trial Conferences
SI-86-91	(LongTitle) Minister of Public Works Authority to Prescribe Fees Order
SI-87-102	Goods Imported for Certification Remission Order
SI-87-116	Domestic Spirits Destroyed Remission Order
SI-87-152	Low Level Air Defence System Remission Order
SI-87-210	(LongTitle) Minister of the Environment Authority to Prescribe Fees or Charges Order
SI-87-26	(LongTitle) Proclamation Giving Notice of the Coming into Force of Canada-United Kingdom Convention Respecting Judgments in Civil and Commercial Matters
SI-87-28	The Criminal Appeal Rules of the Supreme Court of Newfoundland, Trial Division
SI-87-36	(LongTitle) Order Giving Notice that a Tax Agreement between Canada and the People’s Republic of China came into Force on December 29, 1986
SI-87-93	(LongTitle) Minister of Consumer and Corporate Affairs Authority to Prescribe Fees or Charges Order
SI-88-106	Pasta Remission Order 1988
SI-88-112	Order Transferring to the Minister of Western Economic Diversification the Powers, Duties and Functions of the Minister of Indian Affairs and Northern Development Under Certain Acts in Relation to the Western Provinces
SI-88-116	Order Designating the Minister of Western Economic Diversification as Minister for Purposes of the Act, Except Section 3 in Relation to the Western Provinces
SI-88-122	Order Transferring to the Minister of Finance the Powers, Duties and Functions of the Minister of Supply and Services under Part I of the Currency Act
SI-88-127	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Federal Republic of Germany in Force April 1, 1988
SI-88-129	Order Placing Members of the Canadian Forces on Active Service (Iran-Iraq)
SI-88-130	Minister of Employment and Immigration Authority to Prescribe Fees or Charges Order
SI-88-137	Order Designating the National Capital Region as the Place of the Head Office of the Hazardous Materials Information Review Commission
SI-88-138	(LongTitle) Order Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-88-183	(LongTitle) Proclamation Giving Notice of Coming into Force Canada-Cameroon Convention Respecting Taxes on Income
SI-88-188	(LongTitle) Minister of National Revenue Authority to Prescribe Fees Order
SI-88-189	(LongTitle) Minister of National Revenue Authority to Prescribe Fees Order
SI-88-227	Order Fixing December 12, 1988 as the Day on which the Revised Statutes of Canada, 1985 Come into Force
SI-88-228	Order Declaring December 12, 1988 as the Day on which the First Supplement to the Revised Statutes of Canada, 1985 Comes into Force
SI-88-239	Order Declaring December 12, 1988 as the Day on Which the Second Supplement to the Revised Statutes of Canada, 1985 Comes into Force
SI-88-246	Quebec Family Allowances (1988) Remission Order
SI-88-41	Minister of Fisheries and Oceans Authority to Prescribe Fees or Charges Orders
SI-88-46	(LongTitle) Minister of Consumer and Corporate Affairs Authority to Prescribe Fees Order
SI-88-47	(LongTitle) Minister of Consumer and Corporate Affairs Authority to Prescribe Fees Order
SI-88-50	Revised Statutes of Canada, 1985 Distribution Direction
SI-88-68	(LongTitle) Order Authorizing the Minister of Consumer and Corporate Affairs to Prescribe Fees
SI-88-6	Goodyear Remission Order
SI-88-98	(LongTitle) Minister of National Health and Welfare Authority to Prescribe Fees Order
SI-89-103	Order Placing Members of the Canadian Forces on Active Service for the Purpose of Fulfilling Canada’s Obligations Under the North Atlantic Treaty
SI-89-104	Order Placing Members of the Canadian Forces on Active Service (UNTAG-Namibia)
SI-89-121	General Export Permit No. Ex. 18 — Portable Personal Computers and Associated Software
SI-89-122	Revised Statutes of Canada, 1985 Distribution Direction « No. 2 »
SI-89-123	Order Declaring May 1, 1989 as the Day on Which the Third Supplement to the Revised Statutes of Canada, 1985 Comes into Force
SI-89-125	Exclusion Approval Order for Certain Employees and Certain Positions (Air Traffic Control Group), 1989
SI-89-128	Indian Statute-Barred Income Tax Assessment Remission Order
SI-89-132	Aluminerie de Bécancour Remission Order
SI-89-140	Statutes of Canada Distribution Direction, No. 2
SI-89-147	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Commonwealth of Dominica in Force January 1, 1989
SI-89-151	(LongTitle) Order Assigning to the Minister of the Environment the Administration, Management and Control of Certain Public Lands
SI-89-157	Income Earned in Quebec Income Tax Remission Order, 1988
SI-89-172	Secretary of State Authority to Prescribe Fees and Charges Order (Canadian Centre for Management Development)
SI-89-214	(LongTitle) Solicitor General of Canada Authority to Prescribe Fees or Charges Order (RCMP Training Academy-Regina)
SI-89-215	(LongTitle) Solicitor General of Canada Authority to Prescribe Fees or Charges Order (Police Information Retrieval System)
SI-89-217	(LongTitle) Minister of National Revenue Authority to Prescribe Fees Order
SI-89-231	(LongTitle) Order Declaring November 1, 1989 as the Day on Which the Fourth Supplement to the Revised Statutes of Canada, 1985 Comes into Force
SI-89-51	Bridgestone Remission Order
SI-89-98	(LongTitle) Order Designating the Minister of Finance as Minister for Purposes of the Act
SI-90-111	(LongTitle) Order Placing Members of the Canadian Forces on Active Service (Arabian Peninsula)
SI-90-114	(LongTitle) Reservation to the Crown Waiver Order (Mackenzie River, N.W.T.)
SI-90-115	(LongTitle) Reservation to the Crown Waiver Order (Tuktoyaktuk Harbour, N.W.T.)
SI-90-116	Quebec Family Allowances (1989) Remission Order
SI-90-117	Telesat Canada Financing Remission Order
SI-90-118	Spruce Falls Remission Order
SI-90-11	(LongTitle) Crown Waiver Order (Northwest Territories)
SI-90-153	(LongTitle) Prime Minister Authority to Prescribe Fees Order (Canadian Heraldic Authority)
SI-90-155	Metering Assemblies Incorporating Electronic ATCs Specifications
SI-90-156	Electronic Registers and Ancillary Equipment Incorporated in Metering Assemblies Specifications
SI-90-15	(LongTitle) Order Placing Members of the Canadian Forces on Active Service (ONUCA — Central America)
SI-90-163	Soquip Alberta Inc. (Petroleum and Gas Revenue Tax Act) Remission Order
SI-90-29	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Act
SI-90-33	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Act
SI-90-39	Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Statistics Act and for Purposes of the Financial Administration Act with Respect to Statistics Canada
SI-90-52	(LongTitle) Proclamation Declaring the Reciprocal Agreement on Social Security Between Canada and Iceland in Force October 1, 1989
SI-90-73	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and Luxembourg in Force April 1, 1990
SI-90-89	(LongTitle) Order Specifying the National Capital Region as the Place in Which Shall be Located the Head Office of Certain Museums
SI-90-8	(LongTitle) Proclamation Declaring the Reciprocal Agreement on Social Security Between Canada and Australia in Force September 1, 1989
SI-90-95	Gallantry Awards Order
SI-91-104	(LongTitle) Secretary of State Authority to Prescribe Fees Order (Student Loans)
SI-91-108	(LongTitle) Order Giving Notice that a Tax Convention Between Canada and the Grand Duchy of Luxembourg Came into Force on July 8, 1991
SI-91-10	Passover Products Remission Order
SI-91-110	Propane Dispenser Specifications
SI-91-115	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and the Netherlands in Force October 1, 1990
SI-91-11	American Bases in Newfoundland Remission Order, 1990
SI-91-124	(LongTitle) Proclamation Declaring the Agreement on Social Security between Canada and the Republic of Cyprus in Force May 1, 1991
SI-91-137	Residents of India Remission Order
SI-91-13	(LongTitle) GST Federal Government Departments Remission Order
SI-91-146	(LongTitle) Order Placing Members of the Canadian Force on Active Service (Western Sahara)
SI-91-153	Quebec Family Allowances Income Tax Remission Order, 1991
SI-91-155	(LongTitle) Withdrawal of Certain Lands (Mayo, Y.T.) from Disposal Order
SI-91-21	Railway Track Scales for In-Motion Weighing Specifications
SI-91-35	(LongTitle) Proclamation Giving Notice of Coming Into Force Canada-Republic of Zambia Convention Respecting Taxes on Income
SI-91-52	(LongTitle) Order Giving Notice that a Tax Agreement Between Canada and the Polish People’s Republic Came into Force on November 30, 1989
SI-91-53	(LongTitle) Order Giving Notice that a Tax Agreement Between Canada and Papua New Guinea Came into Force on December 21, 1989
SI-91-65	Exclusion Approval Order for certain persons and certain positions (Air Traffic Control Group), 1991
SI-91-66	Standard Trust Depositors Remission Order
SI-91-6	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Canadian Space Agency Act, the Canadian Space Agency as a Department, and the President of the Agency as Deputy Head
SI-91-71	Stelco Steel Remission Order
SI-91-84	Seasonal Residents’ Remission Order, 1991
SI-91-89	Indian Bridge Workers Remission Order
SI-91-9	Joint Canada-United States Government Projects Remission Order
SI-92-102	Indians and Bands on certain Indian Settlements Remission Order
SI-92-106	(LongTitle) Manitoba Criminal Appeal Rules
SI-92-107	(LongTitle) Order Assigning to the Minister of the Environment, the Administration, Management and Control of Certain Public Lands
SI-92-109	(LongTitle) Order Giving Notice that a Tax Information Exchange Convention Between Canada and the United Mexican States Came into Force April 27, 1992
SI-92-110	(LongTitle) Order Giving Notice that a Tax Convention Between Canada and the United Mexican States Came into Force May 11, 1992
SI-92-111	(LongTitle) Withdrawal of Certain Lands (Fry Inlet on Contwoyto Lake, N.W.T.) from Disposal Order
SI-92-119	(LongTitle) Reservation to the Crown Waiver Order (Hay River, N.W.T.)
SI-92-131	(LongTitle) Fingerprinting, Palmprinting and Photography Order
SI-92-133	Special Voting Rules Referendum Fees Tariff
SI-92-139	(LongTitle) Withdrawal of Certain Lands (North and South Baffin, Kitikmeot East and West and Keewatin, N.W.T.) from Disposal Order
SI-92-147	(LongTitle) Order Authorizing the Minister of Agriculture to Prescribe Fees
SI-92-158	Statutes of Canada Loose-leaf Consolidation Updates Distribution Order
SI-92-168	(LongTitle) Order Transferring to the Canada Employment and Immigration Commission from the Department of External Affairs the Control and Supervision of the Consular, Immigration and Passport Affairs Branch and the Immigration Sections of the Programs Division
SI-92-169	(LongTitle) Order Placing Members of the Canadian Forces on Active Service (Somalia)
SI-92-180	(LongTitle) Proclamation Directing a Referendum Relating to the Constitution of Canada
SI-92-181	(LongTitle) Issuance of Writs of Referendum Authorization Order
SI-92-202	Importations by Certain Processing Service Companies (GST) Remission Order
SI-92-205	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake, N.W.T.)
SI-92-209	Foreign Aircraft Servicing Equipment Remission Order, 1992
SI-92-210	Visiting Forces (Part IX of the Excise Tax Act) Remission Order
SI-92-222	(LongTitle) Order No. 2 Placing Members of the Canadian Forces on Active Service (Somalia)
SI-92-228	(LongTitle) Order Transfering the Powers, Duties and Functions of the International Expositions Division to the Minister of Communication
SI-92-28	Farm Equipment Income Tax and Canada Pension Contributions Remission Order
SI-92-2	(LongTitle) New Brunswick Summary Conviction Appeal Rule 64 with Respect to Summary Conviction Appeals to the Court of Queen’s Bench
SI-92-35	(LongTitle) Manitoba Court of Queen’s Bench Rules (Criminal)
SI-92-39	(LongTitle) Order Designating the National Transportation Act Review Commission as a Department and the Prime Minister as Appropriate Minister
SI-92-41	(LongTitle) Withdrawal of Certain Lands (North Baffin Island, N.W.T.) from Disposal Order
SI-92-42	(LongTitle) Order Placing Members of the Canadian Forces on Active Service (Yugoslavia)
SI-92-43	(LongTitle) Order Placing Members of the Canadian Forces on Active Service (Cambodia)
SI-92-53	(LongTitle) Proclamation Declaring the Agreement on Social Security Between Canada and Ireland in Force January 1, 1992
SI-92-73	(LongTitle) Withdrawal of Certain Lands (Peel River Basin, Y.T.) from Disposal Order
SI-92-74	(LongTitle) Withdrawal of Certain Lands (Mackenzie Delta Region, N.W.T.) from Disposal Order
SI-92-96	Saskatchewan Liquor Board Employees’ Remission Order
SI-92-97	Cape Breton Development Corporation Employees Pre-Retirement Remission Order
SI-92-98	Unemployment Insurance Premiums (Spousal Employment) Remission Order
SI-92-99	(LongTitle) Ontario Court of Justice Criminal Proceedings Rules
SI-93-104	(LongTitle) Order Designating the Secretary of State of Canada as Appropriate Minister with Respect to the National Archives, the National Film Board, the National Library, the National Gallery, the National Museum of Science and Technology, the Canadian Museum of Civilization, and the Canadian Museum of Nature
SI-93-108	(LongTitle) Order Designating the Minister for International Trade as Minister for Purposes of the Export Development Act and as Appropriate Minister with Respect to Export Development Canada for Purposes of the Financial Administration Act
SI-93-10	Non-Profit Grazing Associations (GST) Remission Order
SI-93-111	(LongTitle) Order Designating the Minister of Supply and Services as Appropriate Minister with Respect to the Defence Construction (1951) Ltd.
SI-93-112	(LongTitle) Order Designating the Minister of Supply and Services as Appropriate Minister with Respect to the Queens Quay West Land Corporation
SI-93-113	(LongTitle) Order Designating the Minister of Supply and Services as Minister for Purposes of the Act
SI-93-117	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Standards Council of Canada Act
SI-93-126	(LongTitle) Order Amalgamating and Combining the Privy Council Office with the Federal-Provincial Relations Office under the Prime Minister
SI-93-138	(LongTitle) Order Transferring to the Department of Supply and Services the Control and Supervision of the Government Telecommunications Agency and the Translation Bureau and Transferring to the Minister of Supply and Services the Powers, Duties and Functions of the Minister of Public Works and Amalgamating and Combining the Department of Supply and Services and the Department of Public Works Under the Minister of Supply and Services
SI-93-140	(LongTitle) Order Transferring to the Department of Agriculture the Control and Supervision of those Portions of the Public Service in the Department of Industry, Science and Technology Relating to Agri-Food Processing and Manufacturing and in the Department of Consumer and Corporate Affairs Relating to Agri-Food and Labelling
SI-93-141	(LongTitle) Order Transferring to the Department of Industry, Science and Technology the Control and Supervision of Certain Portions of the Public Service and Transferring to the Minister of Industry, Science and Technology the Powers, Duties and Functions of the Minister of Consumer and Corporate Affairs and Amalgamating and Combining the Departments of Industry, Science and Technology and the Department of Consumer and Corporate Affairs under the Minister of Industry, Science and Technology
SI-93-142	(LongTitle) Order Transferring to the Department of Employment and Immigration the Control and Supervision of Certain Portions of the Public Service and Transferring to the Minister of Employment and Immigration the Powers, Duties and Functions of the Minister of Labour and Amalgamating and Combining the Department of Employment and Immigration and the Department of Labour Under the Minister of Employment and Immigration
SI-93-144	(LongTitle) Order Transferring to the Minister of Energy, Mines and Resources the Powers, Duties and Functions of the Minister of Forestry and Amalgamating and Combining the Department of Energy, Mines and Resources and the Department of Forestry under the Minister of Energy, Mines and Resources
SI-93-145	(LongTitle) Order Transferring to the Department of National Health and Welfare the Control and Supervision of the Product Safety Branch in the Department of Consumer and Corporate Affairs
SI-93-146	(LongTitle) Order Transferring to the Department of External Affairs the Control and Supervision of the Investment Development Division in Investment Canada
SI-93-150	Withdrawal from Disposal Order (Contwoyto Lake, N.W.T.)
SI-93-166	(LongTitle) Indian Income Tax Remission Order
SI-93-167	(LongTitle) Order Transferring to the Department of National Health and Welfare the Control and Supervision of Certain Portions of the Public Service in the Social Service Programs Branch of the Department of Employment and Immigration
SI-93-169	Criminal Appeal Rules
SI-93-170	(LongTitle) Order Transferring to the Department of Industry, Science and Technology the Control and Supervision of Certain Portions of the Public Service in the Department of Communications
SI-93-173	(LongTitle) Order Designating the Minister of Finance as Minister for Purposes of the Act
SI-93-174	(LongTitle) Order Designating the Minister of Finance as Minister for Purposes of the Act
SI-93-200	(LongTitle) Order Transferring to the Minister of Communications and to the Minister of Multiculturalism and Citizenship Certain Powers, Duties and Functions of the Secretary of State of Canada and De-amalgamating the Departments of the Secretary of State of Canada, Multiculturalism and Citizenship and Communications
SI-93-201	(LongTitle) Order Transferring to the Secretary of State of Canada Certain Powers, Duties and Functions of the Ministers of Employment and Immigration, the Solicitor General of Canada and Multiculturalism and Citizenship Relating to Immigration and Citizenship and to the Department of the Secretary of State of Canada the Control and Supervision of Certain Portions of the Public Service Relating Thereto
SI-93-202	(LongTitle) Order Transferring to the Department of Communications the Control and Supervision of Certain Portions of the Public Service and to the Minister of Communications Certain Powers, Duties and Functions of the Secretary of State of Canada and of the Minister of Multiculturalism and Citizenship and Amalgamating and Combining the Departments of Communications and Multiculturalism and Citizenship under the Minister of Communications
SI-93-203	(LongTitle) Order Transferring to the Department of External Affairs from the Department of the Solicitor General, the Control and Supervision of the Passport Office
SI-93-225	(LongTitle) Order Designating the Commission of Inquiry on the Blood System in Canada as a Department and the Prime Minister as Appropriate Minister
SI-93-227	(LongTitle) Order Designating the Minister of Communications as Appropriate Minister with Respect to the National Battlefields Commission
SI-93-228	(LongTitle) Order Designating the Minister for Purposes of the Act
SI-93-229	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Act
SI-93-232	(LongTitle) Order Designating the Minister of Communications as Minister for Purposes of Section 47 of the Act
SI-93-234	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the Natural Sciences and Engineering Research Council Act and as Appropriate Minister with Respect to the Natural Sciences and Engineering Research Council for Purposes of the Financial Administration Act
SI-93-235	(LongTitle) Order Designating the Minister of Industry, Science and Technology as Minister for Purposes of the National Research Council Act and as Appropriate Minister with Respect to the National Research Council of Canada for Purposes of the Financial Administration Act
SI-93-238	(LongTitle) Order Transferring from the Minister of Industry, Science and Technology to the Minister of National Health and Welfare the Powers, Duties and Functions of the Minister of Industry, Science and Technology under the Hazardous Materials Information Review Act
SI-93-240	(LongTitle) Reservation to the Crown Waiver Order (Prosperous Lake, N.T.)
SI-93-255	Designation of Countries (Standards Council of Canada) Order
SI-93-27	(LongTitle) Reservation to the Crown Waiver Order (Kam Lake, N.W.T.)
SI-93-30	Order Directing that Certain Documents be Discontinued
SI-93-32	(LongTitle) Minister of Communications Authority to Prescribe Fees Order
SI-93-42	Quebec Family Allowances Income Tax Remission Order, 1992
SI-93-44	Indian Income Tax Remission Order
SI-93-52	(LongTitle) Order Transferring to the Minister of Energy, Mines and Resources, the Powers, Duties and Functions of the Minister of Industry, Science and Technology under Sections 9 and 15 of the Department of Industry, Science and Technology Act Respecting the Hibernia Development Project
SI-93-53	Yukon Territory Court of Appeal Criminal Appeal Rules, 1993
SI-93-76	(LongTitle) Proclamation Designating Certain Countries as States Eligible to Participate in the Military Training Assistance Program
SI-93-80	Storage Charges Remission Order, 1993
